w,sign,path
-0.2614860000000012,313.54823999999996,0
-0.26958900000000213,312.02959999999996,0
-0.26958900000000213,312.02959999999996,0
-0.2682750000000033,317.36288,0
-0.2682750000000033,317.36288,0
-0.2628000000000033,306.6930400000001,0
-0.2628000000000033,306.6930400000001,0
-0.25849300000000225,312.01647999999994,0
-0.25849300000000225,312.01647999999994,0
-0.25586500000000134,317.3530400000001,0
-0.25586500000000134,317.3530400000001,0
-0.23688500000000198,319.6392000000002,0
-0.23688500000000198,319.6392000000002,0
-0.22922000000000067,299.82472000000024,0
-0.22922000000000067,299.82472000000024,0
-0.21615300000000093,303.6426400000003,0
-0.21615300000000093,303.6426400000003,0
-0.18863200000000108,313.5482400000003,0
-0.18863200000000108,313.5482400000003,0
-0.16680500000000265,293.7337600000003,0
-0.16680500000000265,293.7337600000003,0
-0.1488470000000024,298.3060800000002,0
-0.1488470000000024,298.3060800000002,0
-0.127020000000004,296.7841600000001,0
-0.127020000000004,296.7841600000001,0
-0.14103600000000452,292.96952000000005,0
-0.14103600000000452,292.96952000000005,0
-0.14322600000000585,286.8785600000001,0
-0.14322600000000585,286.8785600000001,0
-0.12767700000000504,287.6329600000002,0
-0.12767700000000504,287.6329600000002,0
-0.12855300000000425,283.8248800000003,0
-0.12855300000000425,283.8248800000003,0
-0.12424600000000319,285.3468000000004,0
-0.12424600000000319,285.3468000000004,0
-0.12293200000000438,296.77432000000044,0
-0.12293200000000438,296.77432000000044,0
-0.11504800000000491,289.15160000000054,0
-0.11504800000000491,289.15160000000054,0
-0.11920900000000612,281.5288800000006,0
-0.11920900000000612,281.5288800000006,0
-0.11417200000000571,283.8150400000007,0
-0.11417200000000571,283.8150400000007,0
-0.11263900000000544,294.4881600000007,0
-0.11263900000000544,294.4881600000007,0
-0.10300300000000424,273.1419200000007,0
-0.10300300000000424,273.1419200000007,0
-0.11504800000000491,293.7239200000007,0
-0.11504800000000491,293.7239200000007,0
-0.10147000000000399,273.1419200000007,0
-0.10147000000000399,273.1419200000007,0
-0.09935300000000424,288.3972000000008,0
-0.09935300000000424,288.3972000000008,0
-0.09803900000000544,271.62328000000065,0
-0.09803900000000544,271.62328000000065,0
-0.11044900000000411,287.6329600000008,0
-0.11044900000000411,287.6329600000008,0
-0.10001000000000532,284.5727200000008,0
-0.10001000000000532,284.5727200000008,0
-0.0927830000000069,289.1516000000008,0
-0.0927830000000069,289.1516000000008,0
-0.10825900000000611,281.52888000000087,0
-0.10825900000000611,281.52888000000087,0
