w,u,path
0.0265951743,-0.0799967501,0
0.0186595174,-0.0898830029,0
0.0186595174,-0.0898830029,0
0.0199463807,-0.0849463763,0
0.0199463807,-0.0849463763,0
0.025308311,-0.0819694508,0
0.025308311,-0.0819694508,0
0.029383378,-0.0968020799,0
0.029383378,-0.0968020799,0
0.0319571046,-0.0908742281,0
0.0319571046,-0.0908742281,0
0.0503306524,-0.0898830029,0
0.0503306524,-0.0898830029,0
0.0578373548,-0.0977933052,0
0.0578373548,-0.0977933052,0
0.0704200179,-0.0987845304,0
0.0704200179,-0.0987845304,0
0.0973726542,-0.093838154,0
0.0973726542,-0.093838154,0
0.1183199285,-0.1057068573,0
0.1183199285,-0.1057068573,0
0.1358355675,-0.1057068573,0
0.1358355675,-0.1057068573,0
0.156997319,-0.0987845304,0
0.156997319,-0.0987845304,0
0.1435567471,-0.1135684108,0
0.1435567471,-0.1135684108,0
0.1411974978,-0.1026941826,0
0.1411974978,-0.1026941826,0
0.1563538874,-0.1007084823,0
0.1563538874,-0.1007084823,0
0.1554959786,-0.1086220344,0
0.1554959786,-0.1086220344,0
0.1597855228,-0.102681183,0
0.1597855228,-0.102681183,0
0.1608579088,-0.1115859604,0
0.1608579088,-0.1115859604,0
0.1685790885,-0.1016899578,0
0.1685790885,-0.1016899578,0
0.1645040214,-0.1105947351,0
0.1645040214,-0.1105947351,0
0.1694369973,-0.1016899578,0
0.1694369973,-0.1016899578,0
0.1709383378,-0.1115762106,0
0.1709383378,-0.1115762106,0
0.1803038427,-0.1036626584,0
0.1803038427,-0.1036626584,0
0.1685790885,-0.1096035099,0
0.1685790885,-0.1096035099,0
0.1818051832,-0.1145401365,0
0.1818051832,-0.1145401365,0
0.1839499553,-0.1076210595,0
0.1839499553,-0.1076210595,0
0.1852368186,-0.1184952876,0
0.1852368186,-0.1184952876,0
0.1730116175,-0.1096035099,0
0.1730116175,-0.1096035099,0
0.1833065237,-0.1135489113,0
0.1833065237,-0.1135489113,0
0.1901697945,-0.1224504387,0
0.1901697945,-0.1224504387,0
0.1751563896,-0.1096035099,0
0.1751563896,-0.1096035099,0
0.1777301162,-0.113558661,0
0.1777301162,-0.113558661,0
0.2033958892,-0.1204712382,0
0.2033958892,-0.1204712382,0
0.1811617516,-0.1066298343,0
0.1811617516,-0.1066298343,0
0.1773011618,-0.113558661,0
0.1773011618,-0.113558661,0
0.1869526363,-0.1184952876,0
0.1869526363,-0.1184952876,0
0.1901697945,-0.1175040624,0
0.1901697945,-0.1175040624,0
0.18974084,-0.1105849854,0
0.18974084,-0.1105849854,0
0.1884539768,-0.1155313617,0
0.1884539768,-0.1155313617,0
0.1995352994,-0.1165128372,0
0.1995352994,-0.1165128372,0
0.1995352994,-0.1204712382,0
0.1995352994,-0.1204712382,0
0.1798748883,-0.1096035099,0
0.1798748883,-0.1096035099,0
0.1973905273,-0.1145401365,0
0.1973905273,-0.1145401365,0
0.195746202,-0.1145401365,0
0.195746202,-0.1145401365,0
0.1929579982,-0.1254176146,0
0.1929579982,-0.1254176146,0
0.192743521,-0.1224504387,0
0.192743521,-0.1224504387,0
0.2068275246,-0.1224439389,0
0.2068275246,-0.1224439389,0
0.2098302055,-0.1204712382,0
0.2098302055,-0.1204712382,0
0.18974084,-0.1125674358,0
0.18974084,-0.1125674358,0
0.1923145666,-0.1095937602,0
0.1923145666,-0.1095937602,0
0.2061840929,-0.1105752356,0
0.2061840929,-0.1105752356,0
0.2036103664,-0.1115664608,0
0.2036103664,-0.1115664608,0
0.195746202,-0.1165128372,0
0.195746202,-0.1165128372,0
0.2068275246,-0.1145303867,0
0.2068275246,-0.1145303867,0
0.2061840929,-0.1145303867,0
0.2061840929,-0.1145303867,0
0.2061840929,-0.115521612,0
0.2061840929,-0.115521612,0
0.1980339589,-0.1135489113,0
0.1980339589,-0.1135489113,0
0.2010366399,-0.1165128372,0
0.2010366399,-0.1165128372,0
0.2010366399,-0.1115664608,0
0.2010366399,-0.1115664608,0
0.2014655943,-0.1135489113,0
0.2014655943,-0.1135489113,0
0.2040393208,-0.1224439389,0
0.2040393208,-0.1224439389,0
0.2091867739,-0.1254078648,0
0.2091867739,-0.1254078648,0
0.1986773905,-0.1165128372,0
0.1986773905,-0.1165128372,0
0.1983199285,-0.1194767631,0
0.1983199285,-0.1194767631,0
0.2132618409,-0.1204712382,0
0.2132618409,-0.1204712382,0
0.2132618409,-0.1174943126,0
0.2132618409,-0.1174943126,0
0.2057551385,-0.1175040624,0
0.2057551385,-0.1175040624,0
0.2016800715,-0.1234351641,0
0.2016800715,-0.1234351641,0
0.2055406613,-0.1273903152,0
0.2055406613,-0.1273903152,0
0.215406613,-0.1283717907,0
0.215406613,-0.1283717907,0
0.2132618409,-0.1204712382,0
0.2132618409,-0.1204712382,0
0.2132618409,-0.1174943126,0
0.2132618409,-0.1174943126,0
0.2175513852,-0.1244166396,0
0.2175513852,-0.1244166396,0
0.2089722967,-0.1293630159,0
0.2089722967,-0.1293630159,0
0.2038248436,-0.1175040624,0
